06/28/2018,58%,0%,-42%
06/27/2018,55%,18%,-27%
06/26/2018,29%,24%,48%
06/25/2018,63%,17%,21%
06/22/2018,24%,12%,65%
06/21/2018,8%,23%,-69%
06/20/2018,31%,6%,63%
06/19/2018,0%,3%,-97%
06/15/2018,15%,8%,-77%
06/14/2018,50%,20%,30%
06/13/2018,20%,10%,-70%
06/12/2018,20%,40%,40%
06/11/2018,45%,45%,9%
06/08/2018,0%,15%,-85%
06/07/2018,29%,0%,-71%
06/06/2018,50%,50%,0%
06/05/2018,14%,29%,57%
06/04/2018,23%,15%,-62%
06/01/2018,36%,27%,36%
05/31/2018,14%,71%,-14%
05/30/2018,20%,40%,-40%
05/29/2018,80%,0%,20%
05/28/2018,33%,11%,-56%
05/25/2018,13%,7%,-80%
05/24/2018,75%,0%,-25%
05/23/2018,14%,14%,-71%
05/22/2018,14%,57%,-29%
05/21/2018,12%,25%,63%
05/18/2018,69%,15%,15%
05/17/2018,20%,40%,-40%
05/16/2018,17%,17%,-67%
05/15/2018,17%,50%,33%
05/14/2018,18%,18%,-64%
05/11/2018,8%,8%,-83%
05/10/2018,55%,7%,38%
05/09/2018,0%,67%,-33%
05/08/2018,0%,80%,-20%
05/07/2018,0%,18%,82%
05/04/2018,20%,40%,-40%
05/03/2018,0%,82%,-18%
05/02/2018,36%,27%,-36%
04/27/2018,22%,56%,-22%
04/26/2018,14%,10%,-76%
04/25/2018,37%,63%,0%
04/24/2018,18%,18%,64%
04/23/2018,47%,0%,53%
04/20/2018,20%,0%,-80%
04/19/2018,67%,22%,11%
04/18/2018,6%,76%,-18%
04/17/2018,50%,8%,-42%
04/16/2018,19%,25%,-56%
04/13/2018,56%,33%,-11%
04/12/2018,40%,10%,-50%
04/11/2018,30%,30%,40%
04/10/2018,8%,33%,-58%
04/09/2018,11%,33%,-56%
04/04/2018,25%,17%,-58%
04/03/2018,33%,56%,11%
04/02/2018,30%,0%,-70%
03/30/2018,14%,29%,57%
03/29/2018,33%,44%,22%
03/28/2018,31%,46%,-23%
03/27/2018,14%,29%,57%
03/26/2018,0%,50%,50%
03/23/2018,0%,21%,-79%
03/22/2018,55%,9%,-36%
03/21/2018,69%,6%,-25%
03/20/2018,47%,47%,6%
03/19/2018,48%,14%,-38%
03/16/2018,71%,0%,29%
03/15/2018,53%,29%,18%
03/14/2018,32%,11%,-58%
03/13/2018,74%,8%,18%
03/12/2018,13%,19%,69%
03/09/2018,39%,13%,48%
03/08/2018,6%,13%,81%
03/07/2018,31%,23%,-46%
03/06/2018,53%,27%,20%
03/05/2018,31%,38%,-31%
03/02/2018,31%,38%,31%
03/01/2018,8%,4%,88%
02/28/2018,37%,3%,60%
02/27/2018,69%,15%,-15%
02/26/2018,13%,19%,69%
02/23/2018,40%,20%,40%
02/22/2018,40%,50%,10%
02/14/2018,50%,37%,13%
02/13/2018,89%,11%,0%
02/12/2018,40%,0%,60%
02/09/2018,25%,38%,-37%
02/08/2018,50%,13%,37%
02/07/2018,9%,52%,-39%
02/06/2018,32%,14%,-55%
02/05/2018,26%,39%,35%
02/02/2018,28%,67%,-5%
02/01/2018,13%,26%,-61%
01/31/2018,20%,27%,-53%
01/30/2018,13%,26%,-61%
01/29/2018,30%,41%,30%
01/26/2018,79%,13%,-8%
01/25/2018,0%,3%,97%
01/24/2018,0%,11%,89%
01/23/2018,0%,22%,-78%
01/22/2018,29%,7%,64%
01/19/2018,46%,23%,-31%
01/18/2018,67%,27%,-7%
01/17/2018,0%,17%,-83%
01/16/2018,0%,2%,98%
01/15/2018,7%,27%,-67%
01/12/2018,0%,18%,-82%
01/11/2018,22%,22%,56%
01/10/2018,86%,14%,0%
01/09/2018,17%,50%,-33%
01/08/2018,57%,43%,0%
01/05/2018,30%,30%,-40%
01/04/2018,12%,50%,-38%
01/03/2018,33%,42%,25%
01/02/2018,14%,48%,38%
12/29/2017,25%,8%,67%
12/28/2017,24%,10%,67%
12/27/2017,67%,0%,33%
12/26/2017,10%,80%,-10%
12/25/2017,5%,10%,-85%
12/22/2017,10%,20%,-70%
12/21/2017,19%,75%,-6%
12/20/2017,17%,22%,-61%
12/19/2017,60%,0%,40%
12/18/2017,8%,25%,-67%
12/15/2017,15%,23%,-62%
12/14/2017,17%,33%,-50%
12/13/2017,44%,44%,11%
12/12/2017,17%,11%,-72%
12/11/2017,25%,37%,38%
12/08/2017,50%,0%,-50%
12/07/2017,33%,44%,-22%
12/06/2017,17%,7%,77%
12/05/2017,32%,50%,-18%
12/04/2017,0%,0%,-100%
12/01/2017,64%,27%,9%
11/30/2017,53%,20%,27%
11/29/2017,17%,83%,0%
11/28/2017,38%,50%,-12%
11/27/2017,24%,71%,5%
11/24/2017,4%,7%,89%
11/23/2017,52%,0%,-48%
11/22/2017,51%,13%,36%
11/21/2017,45%,36%,18%
11/20/2017,2%,48%,50%
11/17/2017,10%,39%,-51%
11/16/2017,37%,19%,44%
11/15/2017,50%,25%,25%
11/14/2017,7%,27%,-67%
11/13/2017,20%,15%,-65%
11/10/2017,0%,57%,-43%
11/09/2017,38%,50%,12%
11/08/2017,29%,7%,64%
11/07/2017,33%,56%,11%
11/06/2017,6%,75%,19%
11/03/2017,15%,52%,-33%
11/02/2017,0%,7%,-93%
11/01/2017,28%,11%,-61%
10/31/2017,62%,13%,-25%
10/30/2017,0%,8%,-92%
10/27/2017,7%,21%,-71%
10/26/2017,0%,6%,94%
10/25/2017,25%,37%,37%
10/24/2017,8%,54%,-38%
10/23/2017,20%,40%,-40%
10/20/2017,6%,50%,44%
10/19/2017,5%,5%,-89%
10/18/2017,22%,0%,-78%
10/17/2017,7%,25%,-68%
10/16/2017,4%,4%,-92%
10/13/2017,0%,33%,67%
10/12/2017,45%,27%,-27%
10/11/2017,20%,10%,-70%
10/10/2017,0%,33%,67%
10/09/2017,37%,50%,-13%
09/29/2017,78%,11%,11%
09/28/2017,7%,7%,-87%
09/27/2017,0%,17%,-83%
09/26/2017,33%,22%,44%
09/25/2017,0%,15%,-85%
09/22/2017,75%,5%,20%
09/21/2017,15%,4%,81%
09/20/2017,29%,29%,43%
09/19/2017,0%,6%,-94%
09/18/2017,50%,20%,30%
09/15/2017,0%,50%,-50%
09/14/2017,9%,45%,-45%
09/13/2017,27%,64%,-9%
09/12/2017,11%,22%,-67%
09/11/2017,25%,15%,60%
09/08/2017,56%,37%,6%
09/07/2017,13%,8%,-79%
09/06/2017,64%,18%,18%
09/05/2017,26%,2%,72%
09/04/2017,4%,25%,71%
09/01/2017,55%,9%,36%
08/31/2017,0%,0%,100%
08/30/2017,29%,7%,-64%
08/29/2017,27%,27%,-47%
08/28/2017,56%,44%,0%
08/25/2017,25%,8%,67%
08/24/2017,38%,8%,-54%
08/23/2017,54%,33%,12%
08/22/2017,0%,29%,-71%
08/21/2017,50%,40%,-10%
08/18/2017,31%,14%,54%
08/17/2017,52%,44%,4%
08/16/2017,12%,76%,-12%
08/15/2017,0%,2%,98%
08/14/2017,17%,0%,83%
08/11/2017,33%,33%,-33%
08/10/2017,31%,54%,15%
08/09/2017,22%,33%,44%
08/08/2017,0%,18%,-82%
08/07/2017,22%,11%,67%
08/04/2017,10%,20%,-70%
08/03/2017,37%,13%,50%
08/02/2017,8%,0%,-92%
08/01/2017,36%,27%,-36%
07/31/2017,18%,64%,-18%
07/28/2017,42%,25%,-33%
07/27/2017,12%,15%,74%
07/26/2017,25%,25%,-50%
07/25/2017,32%,50%,18%
07/24/2017,10%,5%,86%
07/21/2017,56%,22%,-22%
07/20/2017,65%,18%,-18%
07/19/2017,6%,16%,78%
07/18/2017,16%,58%,-26%
07/17/2017,71%,0%,-29%
07/14/2017,10%,21%,-69%
07/13/2017,14%,71%,-14%
07/12/2017,14%,43%,-43%
07/11/2017,44%,22%,-33%
07/10/2017,60%,20%,-20%
07/07/2017,8%,17%,-75%
07/06/2017,4%,29%,-68%
07/05/2017,20%,80%,0%
07/04/2017,0%,0%,-100%
07/03/2017,6%,19%,75%
06/30/2017,0%,80%,20%
06/29/2017,37%,25%,-38%
06/28/2017,15%,54%,-31%
06/27/2017,24%,19%,57%
06/26/2017,5%,0%,95%
06/23/2017,30%,70%,0%
06/22/2017,3%,7%,-90%
06/21/2017,14%,38%,-48%
06/20/2017,67%,33%,0%
06/19/2017,70%,20%,10%
06/16/2017,60%,10%,30%
06/15/2017,34%,3%,63%
06/14/2017,29%,17%,54%
06/13/2017,40%,7%,53%
06/12/2017,37%,13%,-50%
06/09/2017,33%,44%,22%
06/08/2017,0%,35%,-65%
06/07/2017,5%,12%,83%
06/06/2017,56%,17%,28%
06/05/2017,42%,47%,11%
06/02/2017,13%,67%,20%
06/01/2017,36%,9%,-56%
05/31/2017,30%,14%,-57%
05/26/2017,0%,0%,0%
05/25/2017,0%,0%,0%
11/25/2016,8%,47%,45%
11/24/2016,39%,50%,11%
11/23/2016,5%,11%,-84%
11/22/2016,0%,19%,81%
11/21/2016,31%,38%,31%
11/18/2016,7%,29%,-64%
11/17/2016,0%,57%,-43%
11/16/2016,38%,19%,42%
11/15/2016,0%,74%,26%
11/14/2016,36%,9%,55%
11/11/2016,6%,22%,72%
11/10/2016,29%,36%,36%
11/09/2016,9%,31%,-59%
11/08/2016,17%,33%,-50%
11/07/2016,93%,7%,0%
11/04/2016,18%,18%,65%
11/03/2016,43%,33%,24%
11/02/2016,0%,43%,-57%
11/01/2016,14%,21%,64%
10/31/2016,2%,30%,-68%
10/28/2016,15%,9%,-77%
10/27/2016,12%,27%,62%
10/26/2016,0%,17%,-83%
10/25/2016,41%,41%,18%
10/24/2016,31%,37%,31%
10/21/2016,11%,26%,-63%
10/20/2016,0%,47%,-53%
10/19/2016,16%,21%,-63%
10/18/2016,18%,46%,36%
10/17/2016,22%,22%,-57%
10/14/2016,12%,38%,-50%
10/13/2016,3%,53%,44%
10/12/2016,50%,19%,-31%
10/11/2016,35%,40%,-25%
10/10/2016,5%,18%,76%
09/30/2016,33%,14%,-52%
09/29/2016,50%,6%,44%
09/28/2016,17%,48%,-35%
09/27/2016,9%,26%,65%
09/26/2016,3%,29%,-68%
09/23/2016,50%,21%,-29%
09/22/2016,27%,8%,-65%
09/21/2016,31%,37%,31%
09/20/2016,56%,33%,-11%
09/19/2016,39%,9%,52%
09/14/2016,24%,24%,52%
09/13/2016,24%,38%,-38%
09/12/2016,0%,17%,-83%
09/09/2016,33%,5%,-62%
09/08/2016,57%,14%,29%
09/07/2016,50%,0%,-50%
09/06/2016,18%,0%,82%
09/05/2016,44%,0%,56%
09/02/2016,35%,14%,-51%
09/01/2016,67%,0%,-33%
08/31/2016,25%,15%,-60%
08/30/2016,15%,26%,59%
08/29/2016,24%,27%,48%
08/26/2016,6%,19%,-75%
08/25/2016,7%,50%,-43%
08/24/2016,42%,26%,32%
08/23/2016,55%,27%,-18%
08/22/2016,22%,75%,-3%
08/19/2016,20%,55%,-25%
08/18/2016,27%,39%,-33%
08/17/2016,29%,16%,55%
08/16/2016,16%,68%,16%
08/15/2016,25%,0%,75%
08/12/2016,0%,36%,64%
08/11/2016,39%,44%,17%
08/10/2016,72%,13%,-16%
08/09/2016,32%,45%,-23%
08/08/2016,8%,19%,73%
08/05/2016,38%,29%,33%
08/04/2016,18%,0%,82%
08/03/2016,31%,47%,-22%
08/02/2016,25%,70%,-5%
08/01/2016,33%,13%,-54%
07/29/2016,20%,46%,34%
07/28/2016,54%,26%,20%
07/27/2016,8%,38%,-54%
07/26/2016,2%,16%,82%
07/25/2016,47%,50%,3%
07/22/2016,7%,13%,-80%
07/21/2016,50%,0%,50%
07/20/2016,43%,21%,-36%
07/19/2016,53%,42%,5%
07/18/2016,12%,41%,-47%
07/15/2016,61%,32%,7%
07/14/2016,55%,37%,-8%
07/13/2016,61%,2%,-37%
07/12/2016,18%,11%,71%
07/11/2016,0%,74%,-26%
07/08/2016,13%,13%,75%
07/07/2016,12%,77%,-10%
07/06/2016,31%,52%,-17%
07/05/2016,67%,23%,10%
07/04/2016,13%,60%,27%
07/01/2016,71%,6%,22%
06/30/2016,13%,72%,-16%
06/29/2016,31%,62%,7%
06/28/2016,25%,15%,59%
06/27/2016,6%,10%,85%
06/24/2016,15%,80%,6%
06/23/2016,43%,21%,36%
06/22/2016,8%,72%,20%
06/21/2016,39%,61%,0%
06/20/2016,2%,39%,59%
06/17/2016,70%,21%,9%
06/16/2016,8%,36%,-57%
06/15/2016,28%,21%,51%
06/14/2016,31%,22%,-47%
06/13/2016,24%,20%,-56%
06/08/2016,19%,36%,-44%
06/07/2016,63%,21%,-17%
06/06/2016,16%,80%,4%
06/03/2016,18%,7%,76%
06/02/2016,23%,57%,-20%
06/01/2016,33%,37%,30%
05/31/2016,3%,17%,80%
05/30/2016,24%,43%,33%
05/27/2016,35%,13%,-52%
05/26/2016,28%,70%,-2%
05/25/2016,28%,47%,-25%
05/24/2016,14%,31%,-56%
05/23/2016,55%,0%,45%
05/20/2016,22%,51%,27%
05/19/2016,59%,9%,-32%
05/18/2016,7%,22%,-71%
05/17/2016,20%,16%,64%
05/16/2016,14%,38%,47%
05/13/2016,35%,44%,-21%
05/12/2016,10%,41%,49%
05/11/2016,3%,11%,-85%
05/10/2016,37%,21%,42%
05/09/2016,25%,0%,-75%
05/06/2016,11%,3%,-86%
05/05/2016,6%,63%,-31%
05/04/2016,67%,16%,16%
05/03/2016,8%,15%,77%
04/29/2016,66%,19%,16%
04/28/2016,31%,65%,4%
04/27/2016,68%,29%,3%
04/26/2016,1%,63%,-35%
04/25/2016,11%,44%,45%
04/22/2016,44%,35%,20%
04/21/2016,30%,0%,-70%
04/20/2016,5%,48%,-47%
04/19/2016,41%,50%,-9%
04/18/2016,17%,28%,-56%
04/15/2016,27%,37%,-35%
04/14/2016,9%,15%,75%
04/13/2016,19%,10%,-71%
04/12/2016,19%,33%,-48%
04/11/2016,30%,7%,63%
04/08/2016,12%,73%,-15%
04/07/2016,17%,20%,-63%
04/06/2016,4%,9%,87%
04/05/2016,15%,35%,49%
04/01/2016,20%,80%,0%
03/31/2016,75%,13%,-12%
03/30/2016,1%,22%,77%
03/29/2016,2%,10%,-87%
03/28/2016,42%,8%,-51%
03/25/2016,24%,18%,58%
03/24/2016,54%,8%,-38%
03/23/2016,7%,24%,69%
03/22/2016,65%,31%,-4%
03/21/2016,39%,57%,-4%
03/18/2016,74%,19%,7%
03/17/2016,6%,0%,94%
03/16/2016,28%,16%,-56%
03/15/2016,38%,32%,-30%
03/14/2016,17%,10%,73%
03/11/2016,37%,7%,56%
03/10/2016,48%,37%,-14%
03/09/2016,26%,5%,68%
03/08/2016,6%,80%,13%
03/07/2016,46%,28%,26%
03/04/2016,4%,26%,-70%
03/03/2016,65%,4%,31%
03/02/2016,14%,24%,63%
03/01/2016,23%,51%,26%
02/29/2016,0%,70%,-30%
02/26/2016,10%,39%,-50%
02/25/2016,9%,0%,-91%
02/24/2016,21%,41%,-37%
02/23/2016,31%,33%,-36%
02/22/2016,34%,66%,0%
02/19/2016,23%,0%,77%
02/18/2016,37%,0%,-63%
02/17/2016,35%,54%,11%
02/16/2016,7%,7%,86%
02/15/2016,70%,0%,30%
02/05/2016,42%,32%,-26%
02/04/2016,50%,0%,50%
02/03/2016,19%,28%,54%
02/02/2016,11%,0%,89%
02/01/2016,3%,36%,-61%
01/29/2016,3%,15%,82%
01/28/2016,73%,3%,-23%
01/27/2016,0%,36%,-64%
01/26/2016,10%,19%,-71%
01/25/2016,1%,21%,-77%
01/22/2016,34%,51%,-15%
01/21/2016,73%,0%,-27%
01/20/2016,43%,21%,-36%
01/19/2016,20%,13%,66%
01/18/2016,26%,0%,74%
01/15/2016,47%,4%,-48%
01/14/2016,20%,6%,74%
01/13/2016,6%,7%,-87%
01/12/2016,34%,19%,46%
01/11/2016,45%,6%,-49%
01/08/2016,7%,50%,-43%
01/07/2016,18%,6%,-76%
01/06/2016,26%,69%,-5%
01/05/2016,48%,42%,-10%
01/04/2016,7%,2%,-91%
12/31/2015,5%,75%,-21%
12/30/2015,0%,68%,32%
12/29/2015,10%,53%,38%
12/28/2015,20%,26%,-54%
12/25/2015,55%,13%,32%
12/24/2015,25%,9%,65%
12/23/2015,15%,0%,-85%
12/22/2015,11%,62%,-27%
12/21/2015,61%,4%,35%
12/18/2015,48%,34%,17%
12/17/2015,41%,1%,58%
12/16/2015,0%,0%,100%
12/15/2015,79%,5%,16%
12/14/2015,26%,11%,62%
12/11/2015,35%,0%,-65%
12/10/2015,28%,50%,22%
12/09/2015,11%,35%,-54%
12/08/2015,40%,19%,41%
12/07/2015,13%,32%,55%
12/04/2015,76%,17%,-6%
12/03/2015,20%,9%,70%
12/02/2015,15%,60%,-25%
12/01/2015,16%,25%,59%
11/30/2015,12%,54%,-33%
11/27/2015,19%,34%,-47%
11/26/2015,71%,2%,-26%
11/25/2015,28%,64%,-8%
11/24/2015,25%,61%,-14%
11/23/2015,44%,0%,56%
11/20/2015,34%,27%,39%
11/19/2015,2%,0%,98%
11/18/2015,45%,23%,-32%
11/17/2015,40%,10%,-50%
11/16/2015,0%,5%,95%
11/13/2015,37%,25%,-38%
11/12/2015,9%,66%,-25%
11/11/2015,38%,50%,-11%
11/10/2015,37%,36%,27%
11/09/2015,31%,0%,69%
11/06/2015,39%,10%,51%
11/05/2015,40%,11%,-49%
11/04/2015,14%,39%,47%
11/03/2015,55%,3%,42%
11/02/2015,39%,16%,44%
10/30/2015,47%,3%,50%
10/29/2015,27%,14%,59%
10/28/2015,70%,16%,-14%
10/27/2015,0%,70%,-30%
10/26/2015,36%,22%,-41%
10/23/2015,45%,22%,33%
10/22/2015,19%,10%,71%
10/21/2015,9%,0%,-91%
10/20/2015,4%,5%,90%
10/19/2015,66%,12%,22%
10/16/2015,38%,40%,-21%
10/15/2015,9%,10%,81%
10/14/2015,80%,1%,19%
10/13/2015,18%,25%,57%
10/12/2015,37%,25%,38%
10/09/2015,55%,40%,5%
10/08/2015,48%,19%,33%
09/30/2015,37%,53%,-11%
09/29/2015,50%,15%,35%
09/28/2015,17%,20%,63%
09/25/2015,0%,25%,-75%
09/24/2015,38%,38%,-24%
09/23/2015,56%,27%,18%
09/22/2015,66%,10%,24%
09/21/2015,0%,6%,94%
09/18/2015,0%,5%,-95%
09/17/2015,86%,5%,-9%
09/16/2015,0%,0%,0%
07/07/2015,26%,0%,-74%
07/06/2015,0%,73%,-27%
07/03/2015,33%,44%,23%
07/02/2015,58%,17%,-25%
07/01/2015,73%,6%,22%
06/30/2015,2%,30%,68%
06/29/2015,0%,2%,-98%
06/26/2015,1%,0%,-99%
06/25/2015,33%,23%,-44%
06/24/2015,16%,48%,36%
06/23/2015,25%,69%,-7%
06/19/2015,69%,20%,-11%
06/18/2015,58%,3%,-39%
06/17/2015,23%,50%,27%
06/16/2015,0%,7%,-93%
06/15/2015,17%,0%,-83%
06/12/2015,88%,2%,10%
06/11/2015,52%,15%,34%
06/10/2015,3%,32%,65%
06/09/2015,48%,25%,-26%
06/08/2015,0%,58%,-42%
06/05/2015,13%,25%,-62%
06/04/2015,23%,56%,21%
06/03/2015,0%,42%,-58%
06/02/2015,0%,0%,0%
05/28/2015,17%,10%,-72%
05/27/2015,0%,27%,-73%
05/26/2015,4%,35%,61%
05/25/2015,32%,3%,65%
05/22/2015,11%,42%,-47%
05/21/2015,42%,47%,12%
05/20/2015,6%,21%,73%
05/19/2015,0%,4%,96%
05/18/2015,19%,1%,80%
05/15/2015,3%,27%,-69%
05/14/2015,4%,11%,-85%
05/13/2015,24%,35%,41%
05/12/2015,63%,13%,24%
05/11/2015,3%,42%,55%
05/08/2015,0%,6%,94%
05/07/2015,55%,8%,-36%
05/06/2015,63%,36%,1%
05/05/2015,23%,19%,-58%
05/04/2015,23%,35%,-42%
04/30/2015,31%,2%,66%
04/29/2015,3%,20%,77%
04/28/2015,13%,30%,-57%
04/27/2015,15%,15%,-70%
04/24/2015,0%,34%,-66%
04/23/2015,26%,0%,74%
04/22/2015,42%,0%,58%
04/21/2015,16%,11%,73%
04/20/2015,11%,50%,-39%
04/17/2015,21%,31%,47%
04/16/2015,58%,33%,10%
04/15/2015,0%,26%,-74%
04/14/2015,44%,16%,-40%
04/13/2015,0%,67%,-33%
04/10/2015,4%,27%,69%
04/09/2015,0%,63%,-37%
04/08/2015,0%,18%,-82%
04/07/2015,50%,38%,13%
04/03/2015,68%,28%,4%
04/02/2015,79%,0%,21%
04/01/2015,32%,33%,35%
03/31/2015,62%,37%,-0%
03/30/2015,26%,73%,-0%
03/27/2015,0%,10%,90%
03/26/2015,72%,0%,28%
03/25/2015,25%,72%,3%
03/24/2015,23%,8%,69%
03/23/2015,4%,0%,96%
03/20/2015,45%,20%,35%
03/19/2015,7%,62%,-31%
03/18/2015,14%,16%,70%
03/17/2015,74%,23%,-3%
03/16/2015,23%,15%,62%
03/13/2015,5%,75%,-20%
03/12/2015,35%,13%,52%
03/11/2015,21%,7%,-72%
03/10/2015,33%,10%,56%
03/09/2015,7%,18%,75%
03/06/2015,0%,9%,-91%
03/05/2015,41%,18%,-42%
03/04/2015,28%,12%,61%
03/03/2015,0%,33%,-67%
03/02/2015,1%,44%,-55%
02/27/2015,14%,6%,80%
02/26/2015,49%,46%,-4%
02/25/2015,12%,20%,-68%
02/17/2015,4%,31%,-64%
02/16/2015,16%,53%,31%
02/13/2015,51%,0%,49%
02/12/2015,0%,70%,30%
02/11/2015,56%,9%,35%
02/10/2015,8%,6%,87%
02/09/2015,53%,1%,-46%
02/06/2015,66%,24%,11%
02/05/2015,72%,9%,-18%
02/04/2015,58%,8%,33%
02/03/2015,12%,0%,88%
02/02/2015,39%,17%,44%
01/30/2015,42%,42%,-16%
01/29/2015,27%,0%,-73%
01/28/2015,31%,46%,23%
01/27/2015,13%,47%,-40%
01/26/2015,49%,0%,51%
